,MSK51,MSK2390
TR2900846_CYTMEM__plas,1,1
R00086__mito,1,1
EX_C00253__extr,1,1
R02096__cyto,1,1
TR2900924_CYTMEM__plas,1,1
TR2916163_CYTMEM__plas,1,1
R02101__cyto,1,1
R01070__cyto,1,1
TO0000021_EXTR__plas,1,1
EX_C00532__extr,1,1
TZ2900069_CYTMEM__plas,1,1
TR2900165_CYTMEM__plas,1,1
R11945__mito,1,1
T_Glutamine_c00064_ExtrCyto__plas,1,1
R03409__cyto,1,1
R02748__cyto,1,1
R01496__cyto,1,1
R01005__cyto,1,1
R00239__cyto,1,1
EX_C00364__extr,1,1
R10035__cyto,1,1
EX_C00256__extr,1,1
TR1000724_CYTMEM__plas,1,1
T_Isocitrate_c00311_CytoMito__plas,1,1
R00677__cyto,0,0
R00472__cyto,1,1
TR0000062_CYTMEM__plas,1,1
TR2900196_CYTMEM__plas,1,1
R06516__cyto,1,1
T_Imidazole__plas,1,1
R02820__cyto,1,1
R04882__cyto,1,1
R02093__cyto,1,1
TO0000438_CYTMEM__plas,1,1
R07111__cyto,1,1
R01056__cyto,1,1
TR0000020_CYTMEM__plas,1,1
EX_C00583__extr,1,1
TO1002555_CYTMEM__plas,1,1
R01665__cyto,1,1
R01059__cyto,1,1
TR1000185_CYTMEM__plas,1,1
TR2900036_CYTMEM__plas,1,1
TO1000926_CYTMEM__plas,1,1
EX_C00422__extr,1,1
TR0011624_CYTMEM__plas,1,1
EX_C01132__extr,1,1
R02372__cyto,1,1
TO1000365_CYTMEM__plas,1,1
EX_C00036__extr,1,1
R08359__cyto,1,1
R02094__cyto,1,1
EX_C19084__extr,1,1
R01724__cyto,1,1
R00191__cyto,1,1
EX_C00474__extr,1,1
R03018__cyto,1,1
R01058__cyto,1,1
R08177__pero,1,1
TR2901003_CYTMEM__plas,1,1
T_all_trans_Nonaprenyl_diphosphate_c04145_MitoCyto__plas,1,1
R00569__cyto,1,1
R03238__cyto,1,1
R07384__cyto,1,1
R02541__cyto,1,1
R03348__cyto,1,1
R07274__cyto,1,1
EX_C00087__extr,1,1
R05639__cyto,1,1
R07494__cyto,1,1
TR1000212_CYTMEM__plas,1,1
EX_C12270__extr,1,1
EX_C03968__extr,1,1
EX_C07086__extr,1,1
TR0012785_CYTMEM__plas,1,1
TO0010516_EXTR__plas,1,1
R02030__mito,1,1
EX_Reduced_NADPH___hemoprotein_reductase__cyto,1,1
R01857__cyto,1,1
EX_C00149__extr,1,1
R12173__cyto,1,1
R00710__cyto,1,1
R04420__cyto,1,1
R02568__cyto,1,1
R03304__cyto,1,1
R02250__cyto,1,1
EX_C05402__extr,1,1
EX_C01083__extr,1,1
R00590__pero,1,1
R12119__mito,1,1
R10633__cyto,1,1
R04856__cyto,1,1
R02855__cyto,0,0
R00157__cyto,1,1
TR0000404_CYTMEM__plas,1,1
R02537__pero,1,1
R00275__cyto,1,1
R07394__cyto,1,1
R04982__mito,1,1
R00964__cyto,1,1
EX_C04146__extr,1,1
TR0001080_CYTMEM__plas,1,1
TZ2900039_CYTMEM__plas,1,1
R11218__cyto,1,1
TR0015429_CYTMEM__plas,1,1
R00939__mito,1,1
R09087__cyto,1,1
R02850__cyto,1,1
EX_C01260__extr,1,1
EX_C00026__extr,1,1
EX_C04230__extr,1,1
R00621__mito,1,1
TR2000083_CYTMEM__plas,1,1
R03084__cyto,1,1
TR1000276_CYTMEM__plas,1,1
EX_C00559__extr,1,1
TR2000128_CYTMEM__plas,1,1
R00867__cyto,1,1
R07491__cyto,1,1
TR0003225_CYTMEM__plas,1,1
R01083__cyto,1,1
R02978__cyto,1,1
TR0002557_CYTMEM__plas,1,1
EX_C05102__extr,1,1
R02035__cyto,1,1
R12427__mito,1,1
R00428__cyto,1,1
R12152__cyto,1,1
EX_C11907__extr,1,1
R02694__cyto,1,1
R04725__cyto,1,1
TR0000056_CYTMEM__plas,1,1
R03363__cyto,1,1
TR0015426_CYTMEM__plas,1,1
EX_C00407__extr,1,1
R07509__cyto,1,1
R04945__cyto,1,1
EX_C07649__extr,1,1
TR0002544_CYTMEM__plas,1,1
R04513__mito,1,1
R07483__cyto,1,1
R03401__cyto,1,1
R04293__cyto,1,1
R02665__cyto,1,1
R00402__cyto,1,1
R00782__cyto,1,1
EX_C00369__extr,1,1
R00900__cyto,1,1
R11099__cyto,1,1
T_Isoleucine_c00407_ExtrCyto__plas,1,1
R00870__cyto,1,1
EX_Ferrocytochrome__cyto,1,1
EX_C00051__extr,1,1
R00127__mito,1,1
R03650__cyto,1,1
R00342__cyto,1,1
TR2000679_CYTMEM__plas,1,1
EX_C00208__extr,1,1
